web-scraper-order;web-scraper-start-url;URL;URL-href;Title;Date
1685119052-1;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Konjunktur: US-Arbeitslosigkeit sinkt auf Vier-Jahres-Tief;https://www.zeit.de/wirtschaft/2012-12/us-arbeitslosigkeit-dollar;US-Arbeitslosigkeit sinkt auf Vier-Jahres-Tief;07.12.2012
1685119055-2;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Arbeitslosigkeit: Das beschämende Gefühl, Hartz IV zu beziehen;https://www.zeit.de/wirtschaft/2012-12/leserartikel-hartz-iv-arbeitslosigkeit;Das beschämende Gefühl, Hartz IV zu beziehen;10.12.2012
1685119058-3;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;"Monti-Rücktritt: ""Italien stehen unruhige Monate bevor""";https://www.zeit.de/wirtschaft/2012-12/italien-wirtschaft-monti-berlusconi;Italien stehen unruhige Monate bevor;10.12.2012
1685119061-4;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Italien: Monti hat nur verwaltet;https://www.zeit.de/2012/51/Italien-Politik-Mario-Monti;Rückzug der Weisen;13.12.2012
1685119064-5;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Anleihekauf: Anleger goutieren neues Konjunkturprogramm der Fed;https://www.zeit.de/wirtschaft/2012-12/us-zentralbank-boerse;Anleger goutieren neues Konjunkturprogramm der Fed;13.12.2012
1685119067-6;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Studie: Einwanderung und Flaute dämpfen Fachkräftemangel;https://www.zeit.de/wirtschaft/2012-12/fachkraeftemangel-studie;Einwanderung und Flaute dämpfen Fachkräftemangel;17.12.2012
1685119070-7;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;"Nationale Armutskonferenz: ""Armut ist politisch gewollt""";https://www.zeit.de/wirtschaft/2012-12/nationale-armutskonferenz-bericht;Armut ist politisch gewollt;18.12.2012
1685119073-8;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Zölibat: Wenn Liebe  das Leben  zerstört;https://www.zeit.de/2012/52/Ehemalige-Priester-Arbeitsmarkt-Oesterreich;Wenn Liebe das Leben zerstört;19.12.2012
1685119076-9;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Sozialpolitik: Fast jeder Sechste ist armutsgefährdet;https://www.zeit.de/gesellschaft/2012-12/armut-deutschland-regionen-bericht;Fast jeder Sechste ist armutsgefährdet;20.12.2012
1685119093-10;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=477;Sozialleistungen: Immer mehr ältere Arbeitslose rutschen in Hartz IV ab;https://www.zeit.de/wirtschaft/2012-12/aeltere-arbeitslose-hartz;Immer mehr ältere Arbeitslose rutschen in Hartz IV ab;22.12.2012
1685119099-11;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=476;Wirtschaftskrise: Altkanzler Schröder fordert Umdenken von Frankreich;https://www.zeit.de/politik/deutschland/2012-12/schroeder-kanzler-frankreich;Altkanzler Schröder fordert Umdenken von Frankreich;24.12.2012
1685119102-12;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=476;FDP-Papier: Rösler fordert mehr Freiheiten für Arbeitgeber;https://www.zeit.de/politik/deutschland/2012-12/fdp-roesler-papier-arbeitsmarkt-mindestlohn;Rösler fordert mehr Freiheiten für Arbeitgeber;26.12.2012
1685119105-13;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=476;Staatsfinanzen: Sparen;https://www.zeit.de/2013/01/Sparen-Krise-Europa-USA;Sparen;27.12.2012
1685119108-14;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=476;Integration: Ein stolzer Deutscher;https://www.zeit.de/2013/01/Bundeswehr-Offizier-Burihabwa;Ein stolzer Deutscher;27.12.2012
1685119111-15;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=476;Neuregelungen 2013: Das ändert sich im neuen Jahr;https://www.zeit.de/politik/deutschland/2012-12/gesetzliche-aenderungen-2013;Das ändert sich im neuen Jahr;27.12.2012
1685119114-16;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=476;Italien: Montis radikal-gemäßigte Erneuerung;https://www.zeit.de/politik/ausland/2012-12/monti-wahlkampf-italien;Montis radikal-gemäßigte Erneuerung;27.12.2012
1685119122-17;https://www.zeit.de/suche/index?q=Arbeitsmarkt&type=article&p=476;Jahresrückblick: Quoten-Gezänk, Chinesisch-Kenntnisse und jede Menge Urteile;https://www.zeit.de/karriere/beruf/2012-11/jahresrueckblick-karriere-2012;Quoten-Gezänk, Chinesisch-Kenntnisse und jede Menge Urteile;27.12.2012
