web-scraper-order;web-scraper-start-url;URL;URL-href;Title;Date
1685140353-1;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Hanser Verlag: Der Richtige;https://www.zeit.de/2012/52/Verlag-Hanser-Jo-Lendle;Der Richtige;19.12.2012
1685140356-2;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Journalismus: Der Hoffnungsdatenträger;https://www.zeit.de/2012/52/Medien-Journalismus-Mumbai-Tablet-PC;Der Hoffnungsdatenträger;19.12.2012
1685140359-3;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Wissenschaft: Museumsreif?;https://www.zeit.de/2012/52/Deutsches-Museum;Museumsreif?;19.12.2012
1685140362-4;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Kita-Plätze: Kommunen sehen Kita-Ausbau in Gefahr;https://www.zeit.de/politik/deutschland/2010-07/kita-plaetze-schroeder;Kommunen sehen Kita-Ausbau in Gefahr;22.07.2010
1685140365-5;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Piratenpartei: Weisband verzichtet auf Bundestagskandidatur;https://www.zeit.de/politik/deutschland/2012-12/piraten-weisband-bundestag;Weisband verzichtet auf Bundestagskandidatur;21.12.2012
1685140368-6;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;"Massenmorde USA: ""Man bekommt leichter Waffen als psychische Hilfe""";https://www.zeit.de/gesellschaft/zeitgeschehen/2012-12/interview-lucinda-roy;Man bekommt leichter Waffen als psychische Hilfe;22.12.2012
1685140371-7;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Jahresrückblick 2012: Frau Boateng interessiert das Betreuungsgeld nicht;https://www.zeit.de/gesellschaft/familie/2012-12/betreuungsgeld-jahresrueckblick;Frau Boateng interessiert das Betreuungsgeld nicht;26.12.2012
1685140374-8;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Schule: Was unseren Kindern fehlt;https://www.zeit.de/gesellschaft/schule/2012-12/leserartikel-fuersorge;Was unseren Kindern fehlt;26.12.2012
1685140377-9;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Aufklärung: Ideal einer vollkommnen Zeitung;https://www.zeit.de/2013/01/Karl-Philipp-Moritz-Zeitung;Ideal einer vollkommnen Zeitung;27.12.2012
1685140380-10;https://www.zeit.de/suche/index?q=Bildung&type=article&p=985;Silvesteressen: Karpfen oder Krapfen, Brot statt Böller;https://www.zeit.de/2013/01/silvester-brauch-essen-glueck;Brot statt Böller;27.12.2012
