web-scraper-order;web-scraper-start-url;URL;URL-href;Title;Date;
1685145454-1;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Gaskosten: Bundeswirtschaftsminister dringt auf "zielgerichtete Entlastungen";https://www.zeit.de/wirtschaft/2022-08/gaskosten-bundeswirtschaftsminister-robert-habeck-entlastungen;Bundeswirtschaftsminister dringt auf "zielgerichtete Entlastungen";15.08.2022
1685145457-2;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Energiekrise: Sozialverband Deutschland fordert schnell Entlastungen;https://www.zeit.de/politik/deutschland/2022-08/sozialverband-fordert-rasch-entlastungen-gasumlage;Sozialverband Deutschland fordert schnell Entlastungen;17.08.2022
1685145460-3;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Lisa Paus: Bundesfamilienministerin warnt vor wachsender Kinderarmut;https://www.zeit.de/politik/deutschland/2022-08/kinderarmut-entlastungen-lisa-paus;Bundesfamilienministerin warnt vor wachsender Kinderarmut;18.08.2022
1685145463-4;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Lisa Paus: Familienministerin will Entlastung für Haushalte mit wenig Geld;https://www.zeit.de/politik/deutschland/2022-08/lisa-paus-entlastung-armut-inflation-mehrwertsteuer;Familienministerin will Entlastung für Haushalte mit wenig Geld;20.08.2022
1685145467-5;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Bundesfinanzminister: Lindner beklagt bei Dienstwagenprivileg "linkes Framing";https://www.zeit.de/politik/deutschland/2022-08/christian-lindner-fdp-dienstwagenprivileg-entlastungspaket;Lindner beklagt bei Dienstwagenprivileg "linkes Framing";21.08.2022
1685145469-6;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Wohngeldreform: Wohngeld für alle?;https://www.zeit.de/wirtschaft/2022-08/wohngeldreform-heizkostenzuschuss-mieterschutzbund-bezugsgrenzen-erhoehung;Wohngeld für alle?;26.08.2022
1685145472-7;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Energiekrise: Scholz kündigt Ausweitung des Wohngeldes zum Jahreswechsel an;https://www.zeit.de/politik/deutschland/2022-08/bundeskanzler-scholz-wohngeld-ausweitung-jahreswechsel;Scholz kündigt Ausweitung des Wohngeldes zum Jahreswechsel an;26.08.2022
1685145475-8;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Lars Klingbeil: "Wir waren an vielen Stellen zu naiv";https://www.zeit.de/politik/2022-08/lars-klingbeil-spd-gasumlage-olaf-scholz;"Wir waren an vielen Stellen zu naiv";27.08.2022
1685145478-9;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Jobcenter: "Die Leute lachen mich doch aus";https://www.zeit.de/politik/deutschland/2022-08/jobcenter-harz-iv-buergergeld-sanktionsmoratorium-offenbach;"Die Leute lachen mich doch aus";28.08.2022
1685145481-10;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=22;Klausur in Meseberg: Irgendwas Wuchtiges;https://www.zeit.de/politik/deutschland/2022-08/meseberg-klausur-bundesregierung-olaf-scholz;Irgendwas Wuchtiges;31.08.2022
1685145487-11;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Entlastungspaket: Jetzt wird zugeschnürt;https://www.zeit.de/politik/deutschland/2022-09/entlastungspaket-bundesregierung-ampel-koalition-energiepolitik;Jetzt wird zugeschnürt;02.09.2022
1685145490-12;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Einwanderunggesetz: Hubertus Heil plant "Chancenkarte" für ausländische Fachkräfte;https://www.zeit.de/politik/deutschland/2022-09/hubertus-heil-einwanderungsgesetz-chancenkarte;Hubertus Heil plant "Chancenkarte" für ausländische Fachkräfte;04.09.2022
1685145494-13;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Entlastungspaket: Koalition will Strompreisbremse für Grundverbrauch einführen;https://www.zeit.de/wirtschaft/2022-09/ampel-beschliesst-entlastungspaket-fuer-65-milliarden-euro;Koalition will Strompreisbremse für Grundverbrauch einführen;04.09.2022
1685145497-14;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Drittes Entlastungspaket: Mit 65 Milliarden gegen die Krise;https://www.zeit.de/politik/deutschland/2022-09/drittes-entlassungspaket-energie-oepnv-rente-faq;Mit 65 Milliarden gegen die Krise;04.09.2022
1685145500-15;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Entlastungspaket: "Teils mit der Gießkanne unterwegs";https://www.zeit.de/wirtschaft/2022-09/entlastungspaket-ampelkoalition-reaktionen;"Teils mit der Gießkanne unterwegs";04.09.2022
1685145503-16;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Entlastungspakete: Muss der Sozialstaat großzügiger werden?;https://www.zeit.de/2022/36/entlastungspaket-ulrich-lilie-johannes-vogel;Muss der Sozialstaat  großzügiger werden?;31.08.2022
1685145507-17;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Strompreis: EU-Energieminister wollen Gewinndeckel auf den Weg bringen;https://www.zeit.de/wirtschaft/2022-09/gewinndeckel-fuer-stromerzeuger-eu-energieminister;EU-Energieminister wollen Gewinndeckel auf den Weg bringen;09.09.2022
1685145510-18;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Bürgergeld: Neues Bürgergeld soll wohl 502 Euro betragen;https://www.zeit.de/arbeit/2022-09/buergergeld-saetze-hartz-inflation-arbeitsminister;Neues Bürgergeld soll wohl 502 Euro betragen;10.09.2022
1685145513-19;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Bürgergeld: Bürgergeld demotiviert laut Handwerksverband Geringverdiener;https://www.zeit.de/wirtschaft/2022-09/buergergeld-hubertus-heil-handwerksverband-kritik;Bürgergeld demotiviert laut Handwerksverband Geringverdiener;12.09.2022
1685145516-20;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=21;Bürgergeld: "Das Bürgergeld ist kein bedingungsloses Grundeinkommen";https://www.zeit.de/politik/deutschland/2022-09/buergergeld-lars-klingbeil-spd-fdp-hartz-iv;"Das Bürgergeld ist kein bedingungsloses Grundeinkommen";13.09.2022
1685145522-21;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;Arbeitgebertag : Die Sorgen der Bosse;https://www.zeit.de/politik/deutschland/2022-09/arbeitgebertag-unternehmen-deutschland-energiekrise-energiepreise;Die Sorgen der Bosse;13.09.2022
1685145525-22;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;Nachrichtenpodcast: Hartz IV ist bald Geschichte;https://www.zeit.de/politik/2022-09/buergergeld-hartz-iv-regelsatz-sanktionen-nachrichtenpodcast;Hartz IV ist bald Geschichte;14.09.2022
1685145542-23;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;"Was jetzt?"-Newsletter: Olaf Scholz fordert Waffenruhe, Jean-Luc Godard ist tot, Basketball-EM;https://www.zeit.de/newsletter/was-jetzt/2022-09/ukraine-idar-oberstein-basketball-2022-09-14;Olaf Scholz fordert Waffenruhe, Jean-Luc Godard ist tot, Basketball-EM;14.09.2022
1685145545-24;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;Bürgergeld: Endlich ein bisschen weniger Angst vor Arbeitslosigkeit;https://www.zeit.de/politik/deutschland/2022-09/buergergeld-regelsatz-hartz-iv-sanktionen-arbeitslosigkeit;Endlich ein bisschen weniger Angst vor Arbeitslosigkeit;14.09.2022
1685145548-25;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;Arbeitslosigkeit: Bürgergeld schafft laut Hubertus Heil Anreize für Erwerbslose;https://www.zeit.de/politik/deutschland/2022-09/hurbertus-heil-buergergeld;Bürgergeld schafft laut Hubertus Heil Anreize für Erwerbslose;14.09.2022
1685145552-26;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;Sozialreform: Kabinett beschließt Bürgergeld;https://www.zeit.de/politik/deutschland/2022-09/buergergeld-kabinett-hartz-iv-sozialreform;Kabinett beschließt Bürgergeld;14.09.2022
1685145555-27;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;"Was jetzt?"-Newsletter: Sinkende Gaspreise, Annalena Baerbock, Kinderlähmung;https://www.zeit.de/newsletter/was-jetzt/2022-09/gaspreis-ukraine-baerbock-2022-09-15;Sinkende Gaspreise, Annalena Baerbock, Kinderlähmung;15.09.2022
1685145558-28;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;Inflation: Scholz wirbt bei Arbeitgebern für steuerfreie Sonderzahlungen;https://www.zeit.de/arbeit/2022-09/olaf-scholz-inflation-arbeitnehmer-arbeitgeber-krise;Scholz wirbt bei Arbeitgebern für steuerfreie Sonderzahlungen;15.09.2022
1685145561-29;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;Heizkosten von Hartz-IV-Empfängern: Der Heizkostendeckel kommt vom Sozialamt;https://www.zeit.de/wirtschaft/2022-09/heizkosten-hartz-iv-empfaenger-jobcenter-kostenuebernahme;Der Heizkostendeckel kommt vom Sozialamt;16.09.2022
1685145564-30;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=20;"Was jetzt?"-Newsletter: Nur gute Nachrichten und Inspirierendes;https://www.zeit.de/newsletter/was-jetzt/2022-09/nur-gute-nachrichten-2022-09-17;Nur gute Nachrichten und Inspirierendes;17.09.2022
1685145570-31;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Christian Dürr: "Wir Deutschen müssen aufpassen";https://www.zeit.de/politik/deutschland/2022-09/christian-duerr-fdp-energiekrise-atomenergie;"Wir Deutschen müssen aufpassen";17.09.2022
1685145573-32;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Energiepreise: Ministerin will Plan zur Wohngeldreform kommende Woche vorlegen;https://www.zeit.de/politik/2022-09/klara-geywitz-gesetzentwurf-wohngeld-ausweitung;Ministerin will Plan zur Wohngeldreform kommende Woche vorlegen;21.09.2022
1685145577-33;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Film "Mittagsstunde": Regisseur Lars Jessenein hat ein bisschen sein eigenes Leben verfilmt;https://www.zeit.de/hamburg/2022-09/elbvertiefung-22-09-2022;Regisseur Lars Jessenein hat ein bisschen sein eigenes Leben verfilmt;22.09.2022
1685145580-34;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Entlastungspaket: Bund will Höhe des Wohngeldes verdoppeln;https://www.zeit.de/wirtschaft/2022-09/wohngeld-verdoppelung-entlastungspaket-geywitz;Bund will Höhe des Wohngeldes verdoppeln;23.09.2022
1685145584-35;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Bundesagentur für Arbeit: Andrea Nahles rechnet mit mehr Kurzarbeit;https://www.zeit.de/wirtschaft/2022-09/arbeitsagentur-andrea-nahles-kurzarbeit-buergergeld;Andrea Nahles rechnet mit mehr Kurzarbeit;24.09.2022
1685145587-36;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Energiegipfel: Markus Söder lehnt Kanzleramtsentwurf für Bund-Länder-Gipfel ab;https://www.zeit.de/politik/deutschland/2022-09/bund-laender-treffen-markus-soeder-entwurf-kanzleramt;Markus Söder lehnt Kanzleramtsentwurf für Bund-Länder-Gipfel ab;26.09.2022
1685145590-37;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Inflation: Die Zahl der Bedürftigen bei den Tafeln steigt;https://www.zeit.de/gesellschaft/zeitgeschehen/2022-09/tafeln-inflation-lebensmittel-armut;Die Zahl der Bedürftigen bei den Tafeln steigt;28.09.2022
1685145593-38;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Fachkräftemangel: Hubertus Heil kündigt modernes Einwanderungsrecht an;https://www.zeit.de/arbeit/2022-10/fachkraeftemangel-hubertus-heil-arbeit-ausbildung-weiterbildung;Hubertus Heil kündigt modernes Einwanderungsrecht an;02.10.2022
1685145596-39;https://www.zeit.de/suche/index?q=B%C3%BCrgergeld&type=article&p=19;Armut: Ein Fünftel der Deutschen hat weniger als 16.300 Euro netto im Jahr;https://www.zeit.de/wirtschaft/2022-10/einkommen-verteilung-armutsrisiko-statistik;Ein Fünftel der Deutschen hat weniger als 16.300 Euro netto im Jahr;05.10.2022
