web-scraper-order;web-scraper-start-url;URL;URL-href;Title;Date;
1685118014-1;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=992;sars: Fiebersenken und Beten;https://www.zeit.de/2003/15/SARS;Fiebersenken und Beten;03.04.2003
1685118017-2;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=992;abstract: Fiebersenken und Beten;https://www.zeit.de/2003/15/abs_sars;Fiebersenken und Beten;03.04.2003
1685118020-3;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=992;Todesrisiko SARS;https://www.zeit.de/2003/19/SARS-Risiken;Todesrisiko SARS;30.04.2003
1685118026-4;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;medizin: Virenschleudern im Schlachthaus;https://www.zeit.de/2004/05/M-Sars;Virenschleudern im Schlachthaus;22.01.2004
1685118029-5;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;medizin: Auf der Jagd nach dem tödlichen Virus H5N1;https://www.zeit.de/2005/03/M-Grippe;Auf der Jagd nach dem tödlichen Virus H5N1;13.01.2005
1685118032-6;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Infektionskrankheit: Neue Studie belegt Gefährlichkeit des Coronavirus;https://www.zeit.de/wissen/gesundheit/2013-02/coronavirus-studie;Neue Studie belegt Gefährlichkeit des Coronavirus;19.02.2013
1685118035-7;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Virus-Pandemie: Sars ist in Hongkong immer noch Thema;https://www.zeit.de/wissen/gesundheit/2013-02/hongkong-sars;Sars ist in Hongkong immer noch Thema;01.03.2013
1685118038-8;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Krankheitserreger: Coronavirus springt erneut von Mensch zu Mensch;https://www.zeit.de/wissen/gesundheit/2013-05/Coronavirus-Frankreich-Ansteckung;Coronavirus springt erneut von Mensch zu Mensch;13.05.2013
1685118041-9;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Krankheitserreger: Saudi-Arabien behindert Forschung an gefährlichem Coronavirus;https://www.zeit.de/wissen/gesundheit/2013-05/corona-virus-forschung-saudi-arabien;Saudi-Arabien behindert Forschung an gefährlichem Coronavirus;28.05.2013
1685118044-10;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Coronaviren: Neues Virus gefährdet Mekka-Pilger;https://www.zeit.de/wissen/gesundheit/2013-06/mers-virus-uebertragung-pilger;Neues Virus gefährdet Mekka-Pilger;27.06.2013
1685118047-11;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Neuer Corona-Erreger: Mers-Virus ist tödlicher als Sars, aber weniger ansteckend;https://www.zeit.de/wissen/2013-07/coronavirus-mers;Mers-Virus ist tödlicher als Sars, aber weniger ansteckend;28.07.2013
1685118050-12;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Interview: 99 von 100 negativ;https://www.zeit.de/2003/16/Interview;99 von 100 negativ;10.04.2003
1685118053-13;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=991;Coronavirus: USA melden ersten Mers-Fall;https://www.zeit.de/wissen/gesundheit/2014-05/Mers-Erkrankung-USA;USA melden ersten Mers-Fall;03.05.2014
1685118061-14;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Mers-Virus: Wird das gefährliche Mers-Virus plötzlich ansteckender?;https://www.zeit.de/wissen/2014-05/mers-coronavirus-virus-seuche-sars;Wird das gefährliche Mers-Virus plötzlich ansteckender?;02.05.2014
1685118064-15;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Mers-Virus: Aus der Wüste nach Südkorea;https://www.zeit.de/2015/24/mers-virus-suedkorea-arabische-halbinsel;Aus der Wüste nach Südkorea;11.06.2015
1685118067-16;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Mers: Dromedare impfen, Mers ausrotten;https://www.zeit.de/2015/25/mers-suedkorea-impfung-dromedare;Heilige Wüstenschiffe;18.06.2015
1685118070-17;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Rotlichtviertel: Der nette Idiot;https://www.zeit.de/2016/46/rotlichtviertel-berlin-prostitution-akademiker-prozess;Der nette Idiot;03.11.2016
1685118073-18;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Bats: Stop Publishing Fake News About Bats;https://www.zeit.de/wissen/umwelt/2018-03/bats-fear-virus-disease-species-extinction;Stop Publishing Fake News About Bats;07.04.2018
1685118076-19;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Epidemie: Warten auf die große Seuche;https://www.zeit.de/wissen/gesundheit/2019-03/epidemie-seuche-warnung-ebola-forschung-impfstoffdrucker;Warten auf die große Seuche;30.04.2019
1685118102-20;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;China: Neues Virus führt wohl zur Ausbreitung von Lungenkrankheit;https://www.zeit.de/wissen/2020-01/china-virus-lungenkrankheit-coronavirus-who-infektionskrankheit;Neues Virus führt wohl zur Ausbreitung von Lungenkrankheit;09.01.2020
1685118105-21;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Coronavirus: Zwei Menschen in China an neuem Virus gestorben;https://www.zeit.de/wissen/gesundheit/2020-01/coronavirus-china-lungenkrankheit-patient-tod;Zwei Menschen in China an neuem Virus gestorben;17.01.2020
1685118108-22;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Coronavirus: Vier weitere Fälle von neuer Lungenkrankheit in China bestätigt;https://www.zeit.de/wissen/gesundheit/2020-01/china-coronavirus-lungenkrankheit-infektion-patienten;Vier weitere Fälle von neuer Lungenkrankheit in China bestätigt;18.01.2020
1685118111-23;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=990;Coronavirus: China meldet siebzehn weitere Fälle neuer Lungenkrankheit;https://www.zeit.de/wissen/gesundheit/2020-01/coronavirus-china-lungenkrankheit-infektion-wuhan;China meldet siebzehn weitere Fälle neuer Lungenkrankheit;19.01.2020
1685118117-24;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=989;Coronavirus: Neuartiges chinesisches Virus breitet sich aus;https://www.zeit.de/wissen/gesundheit/2020-01/cornoavirus-china-lungenerkankung-peking-suedkorea;Neuartiges chinesisches Virus breitet sich aus;20.01.2020
1685118120-25;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=989;Lungenkrankheit: Neues Virus in China wird von Mensch zu Mensch übertragen;https://www.zeit.de/wissen/gesundheit/2020-01/lungenkrankheit-china-coronavirus-infektion-infizierte;Neues Virus in China wird von Mensch zu Mensch übertragen;20.01.2020
1685118124-26;https://www.zeit.de/suche/index?q=Coronavirus&type=article&p=989;Coronavirus: Die Angst vor der nächsten Pandemie;https://www.zeit.de/wissen/gesundheit/2020-01/coronavirus-china-lungenentzuendung-infektion-erkrankung;Die Angst vor der nächsten Pandemie;21.01.2020
