web-scraper-order;web-scraper-start-url;URL;URL-href;Title;Date
1685140475-1;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Cyber Age: Am Beginn einer neuen Zivilisation;https://www.zeit.de/2012/38/Cyber-Age;Am Beginn einer neuen Zivilisation;13.09.2012
1685140478-2;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;CSU: Für Ministerpräsident Seehofer ist 2018 Schluss;https://www.zeit.de/politik/deutschland/2012-09/csu-seehofer-abschied;Für Ministerpräsident Seehofer ist 2018 Schluss;20.09.2012
1685140481-3;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Geschichte der Fotografie: Ein Fest für das vergängliche Material;https://www.zeit.de/kultur/kunst/2012-10/fotografie-mannheim-ausstellung;Ein Fest für das vergängliche Material;05.10.2012
1685140484-4;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Frankfurter Buchmesse: Die Content-Mafiosi;https://www.zeit.de/kultur/literatur/2012-10/content-buchmesse-glosse;Die Content-Mafiosi;12.10.2012
1685140487-5;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;CSU: Dirty Dancing;https://www.zeit.de/2012/43/CSU-Christine-Haderthauer-Markus-Soeder;Dirty Dancing;18.10.2012
1685140490-6;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Halloween: Mumien im Lesesaal;https://www.zeit.de/2012/44/Bibliotheksmumien-Kulturwissenschaft-des-Morbiden-Steinhauer;Friedhof der Datenträger;25.10.2012
1685140493-7;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Digitale Revolution: Ist das Buch noch, was es war?;https://www.zeit.de/2012/47/Buecher-Internet-Literatur-Verleger;Wie wollen wir lesen?;15.11.2012
1685140496-8;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Wie guter Journalismus überleben kann: Haltung statt Kleinmut;https://www.zeit.de/2012/48/Medien-Zeitung-Internet-Journalismus-Medienmanager;Haltung statt Kleinmut;22.11.2012
1685140499-9;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Branche in der Krise: Wie die Medienwelt dem Sturm trotzen kann;https://www.zeit.de/2012/48/Medien-Zeitung-Journalismus;Im Sturm;22.11.2012
1685140502-10;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=389;Piratenpartei: Ja zum Mindestlohn, Nein zur Gentechnik;https://www.zeit.de/politik/deutschland/2012-11/piraten-parteiprogramm-parteitag;Ja zum Mindestlohn, Nein zur Gentechnik;25.11.2012
1685140508-11;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Literatur: Es lebe der Roman!;https://www.zeit.de/kultur/literatur/2012-11/roman-buecher-literatur;Es lebe der Roman!;28.11.2012
1685140511-12;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Journalismus: Die Vernunftehe im Spiegel-Verlag;https://www.zeit.de/2012/49/Medien-Journalismus-Spiegel;Die Vernunftehe;29.11.2012
1685140514-13;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Internetportal: Urheberrecht bremst die Deutsche Digitale Bibliothek;https://www.zeit.de/2012/49/Deutsche-Digitale-Bibliothek;Her mit den Daten!;29.11.2012
1685140517-14;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Buchbranche: Gute Titel, schwere Zeiten;https://www.zeit.de/kultur/literatur/2012-12/buchbranche-verlag-suhrkamp-hanser;Gute Titel, schwere Zeiten;21.12.2012
1685140520-15;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Anna Amalia Bibliothek: Rettung der verbrannten Bücher;https://www.zeit.de/2013/01/Anna-Amalia-Bibliothek-Buecher;Rettung der verbrannten Bücher;27.12.2012
1685140523-16;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Netzpolitik: Bundestagsabgeordnete fordern einen Internetminister;https://www.zeit.de/digital/2012-12/internetminister-bundestag-spd-cdu;Bundestagsabgeordnete fordern einen Internetminister;29.12.2012
1685140526-17;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Mittelalter: Ein geborgener Schatz;https://www.zeit.de/2013/02/Mittelalter-Sammlung-Gustav-Schmidt-Moskau;Ein geborgener Schatz;03.01.2013
1685140529-18;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Stilkolumne: Vorbildliche Journalisten;https://www.zeit.de/2013/03/Stilkolumne-Journalisten-Mode-Blogger;Vorbildliche Journalisten;10.01.2013
1685140535-20;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=388;Buchmarkt: Leser, mach’s dir selbst!;https://www.zeit.de/2013/06/Internet-Buecher-schreiben;Leser, mach’s dir selbst!;31.01.2013
1685140541-21;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;Steuerdrücker: Wie Amazon seine Steuererklärung perfektioniert;https://www.zeit.de/2013/09/Steuern-Steuerpolitik-Amazon-Google;Gewinne@Oase.com;21.02.2013
1685140544-22;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;Bibliothek Köln: Vom Bücherturm zum Bastelraum;https://www.zeit.de/digital/internet/2013-03/stadtbibliothek-koeln-makerbot;Vom Bücherturm zum Bastelraum;11.03.2013
1685140547-23;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;"Wissenschaftsverlage: ""Verlässliche Daten sind lebenswichtig""";https://www.zeit.de/wissen/2013-03/wissenschaftsverlage-kritik-elsevier;Verlässliche Daten sind lebenswichtig;13.03.2013
1685140550-24;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;Emckes Expeditionen: Fremd im eigenen Land;https://www.zeit.de/2013/14/bundestagswahl-2013-innenpolitik-berlin-emckes-expeditionen;Fremd im eigenen Land;27.03.2013
1685140553-25;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;James Blake: Die Mathematik der Seele;https://www.zeit.de/2013/15/popstar-james-blake;Die Mathematik der Seele;04.04.2013
1685140556-26;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;Art Cologne: Sind Plattencover Kunst?;https://www.zeit.de/2013/16/kunstmarkt-plattenlabel-kompakt-art-cologne;Der DJ als Galerist;11.04.2013
1685140559-27;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;Korruptionsermittlungen: Griechische Richter gegen Siemens-Manager;https://www.zeit.de/wirtschaft/2013-04/siemens-korruption-giechenland-von-pierer;Griechische Richter gegen Siemens-Manager;14.04.2013
1685140562-28;https://www.zeit.de/suche/index?q=Digitalisierung&type=article&p=387;Crowdinvesting: Die stille Macht der Vielen;https://www.zeit.de/2013/17/geldanlage-crowdinvesting-start-up-unternehmen;Das nächste große Ding;18.04.2013
