web-scraper-order;web-scraper-start-url;URL;URL-href;Title;Date
1685289072-1;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;"Gaucks Rede im Wortlaut: ""Wir brauchen engagierte Bürger""";https://www.zeit.de/politik/deutschland/2012-12/gauck-weihnachtsrede-dokumentation;Wir brauchen engagierte Bürger;24.12.2012
1685289075-2;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Trendforschung: Welche Farbe hat der Zeitgeist ?;https://www.zeit.de/2013/01/Pantone-Farbe-Emerald-Smaragdgruen;Drei Farben Grün;27.12.2012
1685289078-3;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Energieversorgung: Beim Strom schlägt China Indien um Längen;https://www.zeit.de/politik/ausland/2012-12/indien-china-energieversorgung;Beim Strom schlägt China Indien um Längen;28.12.2012
1685289081-4;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;US-Umweltbehörde: Amerikas oberste Umweltschützerin kapituliert;https://www.zeit.de/wirtschaft/2013-01/epa-ruecktritt-jackson;Amerikas oberste Umweltschützerin kapituliert;02.01.2013
1685289084-5;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Extremwetter: Ja ist denn schon Klimawandel?;https://www.zeit.de/2013/02/Wetter-Winter-Klimawandel;Ja ist denn schon Klimawandel?;03.01.2013
1685289087-6;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Klimawandel: Das Ende der Pasta;https://www.zeit.de/wirtschaft/2012-12/weizenanbau-usa-klimawandel;Das Ende der Pasta;18.12.2012
1685289090-7;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Munich-Re-Bilanz: Naturkatastrophen trafen 2012 vor allem die USA;https://www.zeit.de/wirtschaft/2013-01/munich-re-naturkatastrophen-usa;Naturkatastrophen trafen 2012 vor allem die USA;03.01.2013
1685289093-8;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Wetterextreme: Rekordhitze und Buschfeuer beherrschen Australien;https://www.zeit.de/wissen/umwelt/2013-01/australien-hitzewelle-duerre-buschfeuer-klimawandel;Rekordhitze und Buschfeuer beherrschen Australien;07.01.2013
1685289096-9;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Weltwirtschaftsforum: Einkommensunterschiede gefährden die Weltwirtschaft;https://www.zeit.de/wirtschaft/2013-01/weltwirtschaftsforum-einkommen;Einkommensunterschiede gefährden die Weltwirtschaft;08.01.2013
1685289099-10;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=708;Klimaerwärmung: USA verzeichnen heißestes Jahr seit Beginn der Wetteraufzeichnungen;https://www.zeit.de/wissen/umwelt/2013-01/usa-temperatur-2012;USA verzeichnen heißestes Jahr seit Beginn der Wetteraufzeichnungen;09.01.2013
1685289105-11;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Mensch und Natur: Willkommen im Anthropozän, dem Zeitalter des Menschen;https://www.zeit.de/2013/03/Anthropozaen-Projekt-Berlin-HKW-Leinfelder;Wir Weltgärtner;10.01.2013
1685289108-12;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Gesellschaftskritik: Ohne die Mini-Beckhams bleibt Hamburg nur Langeweile;https://www.zeit.de/2013/03/Gesellschaftskritik-Van-der-Vaart-Trennung-Hamburg;Über Hamburg;10.01.2013
1685289111-13;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Umweltpolitik: US-Regierungsstudie drängt Obama zu mehr Klimapolitik;https://www.zeit.de/wissen/umwelt/2013-01/klimabericht-usa-erwaermung;US-Regierungsstudie drängt Obama zu mehr Klimapolitik;13.01.2013
1685289114-14;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Erneuerbare Energien: China könnte bei Altmaiers Energiewende-Klub mitmachen;https://www.zeit.de/wirtschaft/2013-01/altmaier-energiewende-club-china;China könnte bei Altmaiers Energiewende-Klub mitmachen;15.01.2013
1685289122-15;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Erderwärmung: Ruß fördert den Klimawandel stärker als gedacht;https://www.zeit.de/wissen/umwelt/2013-01/Russ-Partikel-beschleunigen-Klimawandel;Ruß fördert den Klimawandel stärker als gedacht;16.01.2013
1685289125-16;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Inauguration: Amerika feiert die zweite Amtszeit Obamas;https://www.zeit.de/politik/ausland/2013-01/usa-obama-amtseinfuehrung;Amerika feiert die zweite Amtszeit Obamas;21.01.2013
1685289129-17;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Weltwirtschaftsforum: Schwab sieht Weltwirtschaft noch immer bedroht;https://www.zeit.de/wirtschaft/2013-01/davos-weltwirtschaftsforum-klaus-schwab;Schwab sieht Weltwirtschaft noch immer bedroht;22.01.2013
1685289132-18;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Klimawandel: NRW will Treibhausgase per Gesetz verringern;https://www.zeit.de/politik/deutschland/2013-01/klimaschutzgesetz-nrw-treibhausgas;NRW will Treibhausgase per Gesetz verringern;23.01.2013
1685289135-19;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Nahrungsmittelspekulation: Sollen sie doch wieder zocken;https://www.zeit.de/2013/05/Deutsche-Bank-Nahrungsmittelspekulation;Sollen sie doch wieder zocken;24.01.2013
1685289138-20;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=707;Klimawandel: Die Erderwärmung pausiert nicht;https://www.zeit.de/2013/05/Erderwaermung-Klimakurve-Temperaturplateau;Streit auf hohem Plateau;24.01.2013
1685289144-21;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;Weißes Haus: Obama holt Sicherheitsexperten als Stabschef;https://www.zeit.de/politik/ausland/2013-01/obama-stabschef-usa-mcdonough;Obama holt Sicherheitsexperten als Stabschef;25.01.2013
1685289147-22;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;Niederlande: Königin Beatrix überzeugte auch Anti-Monarchisten;https://www.zeit.de/gesellschaft/zeitgeschehen/2013-01/Koenigin-Beatrix-Niederlande-Regentschaft;Königin Beatrix überzeugte auch Anti-Monarchisten;29.01.2013
1685289150-23;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;Überschwemmungen: Australier leiden wieder unter Wetterextremen;https://www.zeit.de/wissen/umwelt/2013-01/australien-regen-ueberschwemmung;Australier leiden wieder unter Wetterextremen;29.01.2013
1685289153-24;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;US-Regierung: Senat bestätigt John Kerry als Außenminister;https://www.zeit.de/politik/ausland/2013-01/john-kerry-usa-aussenminister-senat;Senat bestätigt John Kerry als Außenminister;30.01.2013
1685289156-25;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;Klimaschutz: Wir brauchen keine Ökodiktatur;https://www.zeit.de/2013/06/Klimaschutz-Demokratie-Oekodiktatur;Wir brauchen keine Ökodiktatur;31.01.2013
1685289159-26;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;"Energie: ""Gas ist in Sachen Klima kein Allheilmittel""";https://www.zeit.de/2013/07/Energie-IEA-Maria-van-der-Hoeven;Gas ist kein Allheilmittel;07.02.2013
1685289162-27;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;Wachstumskritik: Weniger Arbeiten hilft dem Klima;https://www.zeit.de/wirtschaft/2013-02/klimawandel-arbeit-wachstumskritik;Weniger Arbeiten hilft dem Klima;07.02.2013
1685289170-28;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;Schneesturm: Nemo verschont New York;https://www.zeit.de/gesellschaft/zeitgeschehen/2013-02/schneesturm-nemo-newyork;Nemo verschont New York;10.02.2013
1685289177-29;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;"Obama zur Lage der Nation: Kampf gegen die Krise ist ""Aufgabe unserer Generation""";https://www.zeit.de/politik/ausland/2013-02/obama-rede-nation-konjunktur-republikaner;"Kampf gegen die Krise ist ""Aufgabe unserer Generation""";13.02.2013
1685289183-30;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=706;Ski-WM: Skifahren kommt in Österreich aus der Mode;https://www.zeit.de/2013/08/Ski-WM-Oesterreich;Dann geht eine Welt unter;14.02.2013
1685289189-31;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Hurrikan Sandy: New York baut Häuser nun auf Pfählen;https://www.zeit.de/wissen/umwelt/2013-02/new-york-sandy-stadtplanung;New York baut Häuser nun auf Pfählen;18.02.2013
1685289192-32;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Diskurskritik: Und der Kapitalismus triumphiert doch!;https://www.zeit.de/2013/09/Kritik-am-Kapitalismus;Und er triumphiert doch!;21.02.2013
1685289195-33;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;"EZB-Direktor Asmussen: ""Die Gerechtigkeit hat gelitten""";https://www.zeit.de/wirtschaft/2013-02/asmussen-interview;Die Gerechtigkeit hat gelitten;25.02.2013
1685289198-34;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Mauretanien: Der Moloch und das Meer;https://www.zeit.de/gesellschaft/zeitgeschehen/2013-02/mauretanien-sahara-steigender-meeresspiegel-ueberflutung;Der Moloch und das Meer;25.02.2013
1685289201-35;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Verkehrsstudie: Autofahren sollte teurer werden;https://www.zeit.de/auto/2013-02/autofahren-kosten-studie;Autofahren sollte teurer werden;25.02.2013
1685289204-36;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Solarstrom: Katar will weg vom Gas – ein bisschen;https://www.zeit.de/wirtschaft/2012-12/katar-solarstrom;Katar will weg vom Gas – ein bisschen;04.12.2012
1685289207-37;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Zweite Amtszeit: Mehr Mut, Herr Präsident!;https://www.zeit.de/politik/ausland/2012-11/wahlsieger-obama-kommentar;Mehr Mut, Herr Präsident!;07.11.2012
1685289210-38;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Nachhaltigkeit: Deutschland, Vorbild im Reden;https://www.zeit.de/wirtschaft/2012-06/nachhaltigkeit-deutschland-wwf;Deutschland, Vorbild im Reden;13.06.2012
1685289213-39;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Außenpolitik: Raus aus der Moralecke!;https://www.zeit.de/2013/10/Aussenpolitik-Diskussion-Moral;Raus aus der Moralecke!;28.02.2013
1685289218-40;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=705;Geo-Engineering: Pfusch in den Wolken;https://www.zeit.de/zeit-wissen/2012/02/Die-Klima-Klempner;Pfusch in den Wolken;14.02.2012
1685289224-41;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=704;Cites-Konferenz: Die Eisbären bleiben Gejagte;https://www.zeit.de/wissen/umwelt/2013-02/eisbaeren-cites-monitoring;Die Eisbären bleiben Gejagte;06.03.2013
1685289227-42;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=704;Artenschutz: Der Handel mit Eisbärfellen wird nicht eingeschränkt;https://www.zeit.de/wissen/umwelt/2013-03/eisbaren-cites-artenschutzkonferenz;Der Handel mit Eisbärfellen wird nicht eingeschränkt;07.03.2013
1685289230-43;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=704;Mobilfunk: Afrikas mobiles Wirtschaftswunder;https://www.zeit.de/digital/internet/2013-03/afrika-mobilfunk-wirtschaft;Afrikas mobiles Wirtschaftswunder;08.03.2013
1685289234-44;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=704;Kapitalismuskritik: Die Litanei vom Schicksal;https://www.zeit.de/kultur/literatur/2013-03/kapitalismuskritik-essay;Die Litanei vom Schicksal;12.03.2013
1685289237-45;https://www.zeit.de/suche/index?q=Klimawandel+&type=article&p=704;"Shell: ""Wir werden uns nicht mehr nur mit Öl und Gas beschäftigen""";https://www.zeit.de/2013/12/Energiewende-Fracking-Matthias-Bichsel;Wir tun nur, was beherrschbar ist;14.03.2013
