web-scraper-order;web-scraper-start-url;URL;URL-href;Title;Date;
1685122820-1;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Flüchtlinge: Friedrich will Asylbewerbern weniger Bargeld zahlen;https://www.zeit.de/politik/deutschland/2012-10/friedrich-asylbewerber;Friedrich will Asylbewerbern weniger Bargeld zahlen;13.10.2012
1685122823-2;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Asylpolitik: Roma – das falsche Wahlkampfthema;https://www.zeit.de/politik/2012-10/asylpolitik-integration-roma;Roma – das falsche Wahlkampfthema;15.10.2012
1685122830-3;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;SPD-Zentrale: Buschkowsky, ein willkommener Provokateur;https://www.zeit.de/gesellschaft/zeitgeschehen/2012-10/buschkowsky-neukoelln-spd;Buschkowsky, ein willkommener Provokateur;16.10.2012
1685122833-4;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Schule für Flüchtlinge: "Ihr seid die Zukunft Deutschlands";https://www.zeit.de/2012/43/Fluechtlinge-Schule-Michael-Stenger;Erste Lektion: "Kopf hoch!";18.10.2012
1685122840-5;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Europäischer Filmpreis: Europa im Kaleidoskop des Films;https://www.zeit.de/kultur/film/2011-12/europaeischer-filmpreis-berlin;Europa im Kaleidoskop des Films;04.12.2011
1685122843-6;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Sebastian Kurz: "Es ist ein totaler Intrigen-Stadl";https://www.zeit.de/2012/44/Sebastian-Kurz-Staatssekretaer-Integration-Oesterreich-OEVP;"Es ist ein totaler Intrigen-Stadl";25.10.2012
1685122846-7;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;NSU-Terror: Zeigen, was war;https://www.zeit.de/2012/46/NSU-Ausstellung-Deutsches-Historisches-Museum;Zeigen, was war;08.11.2012
1685122849-8;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Integration: "Ausgrenzung ist ein unglaublicher Stressfaktor";https://www.zeit.de/gesellschaft/2012-11/andreas-heinz-migranten-psyche;"Ausgrenzung ist ein unglaublicher Stressfaktor";12.11.2012
1685122852-9;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Urbanes Leben: Die Union versteht die Stadtkinder nicht;https://www.zeit.de/2012/47/Politik-Stadtleben-Urbanitaet;Wir Stadtkinder;15.11.2012
1685122856-10;https://www.zeit.de/suche/index?q=Migration&type=article&p=558;Armut: Gibt es echte Obdachlosigkeit in Deutschland?;https://www.zeit.de/politik/ausland/2012-11/usa-obdachlosigkeit-armut;;20.11.2012
1685122862-11;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Separatismus: Warum reiche EU-Regionen aus ihren Staaten raus wollen;https://www.zeit.de/2012/48/Essay-Separatismus-EU-Staaten;Am prächtigsten allein;22.11.2012
1685122865-12;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Piratenpartei: Sie will doch nur spielen;https://www.zeit.de/2012/48/piratenpartei-marina-weisband;Sie will doch nur spielen;22.11.2012
1685122868-13;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Singapur: Die Zukunft vor Augen;https://www.zeit.de/2012/49/Schweiz-Singapur-Raumplanung-Finanzplatz-Migration;Die Zukunft vor Augen;29.11.2012
1685122882-14;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Flüchtlinge: Pro Asyl erwartet deutlich mehr Asylbewerber in Deutschland;https://www.zeit.de/politik/deutschland/2012-12/asylbewerber-anstieg-2012;Pro Asyl erwartet deutlich mehr Asylbewerber in Deutschland;27.12.2012
1685122884-15;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Migration: Zahl der Asylbewerber deutlich gestiegen;https://www.zeit.de/politik/deutschland/2013-01/asyl-deutschland-erstantraege;Zahl der Asylbewerber deutlich gestiegen;15.01.2013
1685122887-16;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Asylpolitik: Mit den Wölfen heulen;https://www.zeit.de/2013/04/Asylpolitik-Schweiz-Daenemark;Mit den Wölfen heulen;17.01.2013
1685122892-17;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Kinderbücher: Die kleine Hexenjagd;https://www.zeit.de/2013/04/Kinderbuch-Sprache-Politisch-Korrekt;Die kleine Hexenjagd;17.01.2013
1685122894-18;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Asylpolitik: "Wir sind keine Opfer, wir sind Kämpfer!";https://www.zeit.de/gesellschaft/zeitgeschehen/2013-01/asyl-protest-berlin;"Wir sind keine Opfer, wir sind Kämpfer!";18.01.2013
1685122897-19;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Wahlkampf: Zankapfel Doppelpass;https://www.zeit.de/politik/deutschland/2013-02/doppelte-staatsbuergerschaft-wahlkampf;Zankapfel Doppelpass;05.02.2013
1685122900-20;https://www.zeit.de/suche/index?q=Migration&type=article&p=557;Schweiz: "Zuwanderung tut uns gut";https://www.zeit.de/2013/07/Schweiz-Zuwanderung-Interview-Leimgruber;"Zuwanderung tut uns gut";07.02.2013
1685122906-21;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Microsoft: Zeitbombe Windows XP;https://www.zeit.de/digital/internet/2013-02/windows-xp-sicherheitsrisiko;Zeitbombe Windows XP;11.02.2013
1685122923-22;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Dokumentation: Gaucks Europa-Rede im Wortlaut;https://www.zeit.de/politik/deutschland/2013-02/gauck-rede-wortlaut;Gaucks Europa-Rede im Wortlaut;22.02.2013
1685122926-23;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Integration: Der Streit um den Doppelpass;https://www.zeit.de/politik/deutschland/2013-03/staatsbuergerschaft-wahlkampf-spd-cdu;Der Streit um den Doppelpass;04.03.2013
1685122929-24;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Frank Stronach: Österreichs besserer Populist;https://www.zeit.de/2013/11/Frank-Stronach-Landtagswahlen-Oesterreich;Der bessere Populist?;07.03.2013
1685122932-25;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Biometrie: Darf die EU Fingerabdrücke fordern?;https://www.zeit.de/digital/datenschutz/2013-03/fingerabdruck-klage-eugh;Darf die EU Fingerabdrücke fordern?;13.03.2013
1685122935-26;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Bürgerrecht: Ihr gehört zu uns!;https://www.zeit.de/2013/13/Buergerrecht-Schweiz;Ihr gehört zu uns!;21.03.2013
1685122938-27;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Immobilien: China geht shoppen;https://www.zeit.de/2013/13/China-Real-Estate-Immobilien;China geht shoppen;21.03.2013
1685122941-28;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;"Schmerzliche Heimat": Tabu: Ausländerhass;https://www.zeit.de/2013/13/Semiya-Simsek-Schmerzliche-Heimat;Tabu: Ausländerhass;21.03.2013
1685122944-29;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Migration: Kein Geld für die Heimat;https://www.zeit.de/wirtschaft/2009-11/rueckueberweisungen-migranten;Kein Geld für die Heimat;26.11.2009
1685122947-30;https://www.zeit.de/suche/index?q=Migration&type=article&p=556;Urteil: Musik-Dateien dürfen nicht weiterverkauft werden;https://www.zeit.de/digital/internet/2013-04/urteil-gebrauchte-mp3s-weiterverkauf-verboten;Musik-Dateien dürfen nicht weiterverkauft werden;02.04.2013
1685122955-31;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Migration: Menschen passen nicht in Schubladen;https://www.zeit.de/gesellschaft/2013-04/leserartikel-migration-deutsch-tuerke;Menschen passen nicht in Schubladen;03.04.2013
1685122958-32;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Auswanderinnen: Käsekuchen für Prinzessin Margaret;https://www.zeit.de/2013/15/schweizer-auswanderer-grossbritannien;Käsekuchen für Prinzessin Margaret;04.04.2013
1685122961-33;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Klimawandel: Die neuen Flüchtlinge;https://www.zeit.de/politik/ausland/2013-04/Migration-Umwelt-Klima-Nansen;Die neuen Flüchtlinge;10.04.2013
1685122964-34;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Expatriates: Eben noch in Dubai, jetzt wieder in Bayern;https://www.zeit.de/2013/16/expatriates-zurueckholen-deutschland;Welcome dahoam;11.04.2013
1685122981-35;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Integration: Merkel fordert Respekt für türkische Migranten;https://www.zeit.de/politik/deutschland/2013-04/merkel-migranten-integration;Merkel fordert Respekt für türkische Migranten;10.04.2013
1685122983-36;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Political Correctness: Keine Lizenz zum Abkotzen;https://www.zeit.de/gesellschaft/2013-04/meinungsfreiheit-zensur-journalismus;Keine Lizenz zum Abkotzen;17.04.2013
1685122986-37;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Krise: Portugiesen suchen ihr Glück in Afrika;https://www.zeit.de/2013/17/portugiesen-arbeit-afrika-angola;Auf nach Afrika!;18.04.2013
1685122989-38;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Matisse in Marokko: Ein Fenster in Tanger;https://www.zeit.de/2013/17/marokko-tanger-henri-matisse;Kennen Sie Matisse?;18.04.2013
1685122992-39;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;AfD-Mitglieder: Sie wollen die Alternative für Deutschland sein;https://www.zeit.de/politik/deutschland/2013-04/afd-mitglieder-portrait;Sie wollen die Alternative für Deutschland sein;18.04.2013
1685122995-40;https://www.zeit.de/suche/index?q=Migration&type=article&p=555;Segregation: Es gibt  keine Ghettos!;https://www.zeit.de/2013/18/essay-segregation-migranten-integration;Es gibt  keine Ghettos!;25.04.2013
1685123002-41;https://www.zeit.de/suche/index?q=Migration&type=article&p=554;Studie: Mehrheit der Deutschen sieht den Islam als Bedrohung;https://www.zeit.de/gesellschaft/2013-04/islam-bedrohung-studie;Mehrheit der Deutschen sieht Islam als Bedrohung;27.04.2013
1685123004-42;https://www.zeit.de/suche/index?q=Migration&type=article&p=554;Wir Amis: Und Gott liebt Amerika doch;https://www.zeit.de/politik/ausland/2012-12/usa-gott;;04.12.2012
1685123007-43;https://www.zeit.de/suche/index?q=Migration&type=article&p=554;Drittes Reich: Wie aus Gastarbeitern Zwangsarbeiter wurden;https://www.zeit.de/wissen/2010-11/migration-hitler-drittes-reich;Wie aus Gastarbeitern Zwangsarbeiter wurden;23.11.2010
1685123010-44;https://www.zeit.de/suche/index?q=Migration&type=article&p=554;200 Jahre Unabhängigkeit: Mexiko – am Rand des Abgrunds;https://www.zeit.de/politik/ausland/2010-09/Mexiko-200-Jahre;Mexiko – am Rand des Abgrunds;15.09.2010
